asset_key,asset_name,rows_total,rows_train,rows_test,model,mae,rmse,correlation,directional_accuracy,y_true_std,y_pred_std,test_period_start,test_period_end,n_features,features_used,metrics_path,recent_rows,recent_start,recent_end,recent_mean_return,recent_volatility,recent_last_return,recent_mean_abs_error,recent_max_abs_error,recent_positive_share,prediction_volatility_ratio
tea,Tea,396,317,79,Ridge(alpha=1.0),0.039393747372317614,0.04977819577461584,0.2329448599923987,0.5443037974683544,0.05108215100799806,0.006007826924718726,2019-07-01,2026-01-01,10,"['r_lag_1', 'r_lag_3', 'r_lag_6', 'r_lag_12', 'r_roll_mean_3', 'r_roll_std_3', 'r_roll_mean_6', 'r_roll_std_6', 'r_roll_mean_12', 'r_roll_std_12']",reports/metrics/tea.json,12,2025-02-01,2026-01-01,-0.007893536576847314,0.0325479355301746,-0.0230572166474809,0.026310238209209528,0.0675759809953142,0.25,0.1176110795290916
coffee,Coffee (Arabica),396,317,79,Ridge(alpha=1.0),0.051722297808697394,0.06524742148205974,0.07227864801663327,0.5822784810126582,0.06525540008116813,0.010629752506694309,2019-07-01,2026-01-01,10,"['r_lag_1', 'r_lag_3', 'r_lag_6', 'r_lag_12', 'r_roll_mean_3', 'r_roll_std_3', 'r_roll_mean_6', 'r_roll_std_6', 'r_roll_mean_12', 'r_roll_std_12']",reports/metrics/coffee.json,12,2025-02-01,2026-01-01,-0.020203212004596943,0.08251136016634243,-0.1243691819102794,0.06403021376436606,0.1546705776817862,0.4166666666666667,0.16289460325846533
sugar,Sugar,396,317,79,Ridge(alpha=1.0),0.05047930573100224,0.06795241748795643,-0.06845269064687395,0.5063291139240507,0.06780469032417893,0.005343087024362328,2019-07-01,2026-01-01,10,"['r_lag_1', 'r_lag_3', 'r_lag_6', 'r_lag_12', 'r_roll_mean_3', 'r_roll_std_3', 'r_roll_mean_6', 'r_roll_std_6', 'r_roll_mean_12', 'r_roll_std_12']",reports/metrics/sugar.json,12,2025-02-01,2026-01-01,-0.029301411003032823,0.029900087304044646,-0.04032704596271,0.03366799170974332,0.0670940996215047,0.25,0.0788011419094558
cocoa,Cocoa,396,317,79,Ridge(alpha=1.0),0.06889549940119653,0.09990712887425814,0.15691226898441382,0.6455696202531646,0.10124126351502798,0.0053144388463010565,2019-07-01,2026-01-01,10,"['r_lag_1', 'r_lag_3', 'r_lag_6', 'r_lag_12', 'r_roll_mean_3', 'r_roll_std_3', 'r_roll_mean_6', 'r_roll_std_6', 'r_roll_mean_12', 'r_roll_std_12']",reports/metrics/cocoa.json,12,2025-02-01,2026-01-01,-0.08368879314774852,0.12030337724040979,-0.3356896198767085,0.11499550918107748,0.33159681980820116,0.3333333333333333,0.052492814310957266
